ticker,name
BWXT,"BWX Technologies, Inc."
COIN,"Coinbase Global, Inc."
CEG,Constellation Energy Corporation
XYZ,"Block, Inc."
SPCE,"Virgin Galactic Holdings, Inc."
NVDA,NVIDIA Corporation
MSFT,Microsoft Corporation
LMT,Lockheed Martin Corporation
RIOT,"Riot Platforms, Inc."
GOOGL,Alphabet Inc.
CCJ,Cameco Corporation
LHX,"L3Harris Technologies, Inc."
SMR,NuScale Power Corporation
MARA,"MARA Holdings, Inc."
UEC,Uranium Energy Corp.
NOC,Northrop Grumman Corporation
BA,The Boeing Company
PL,Planet Labs PBC
RDW,Redwire Corporation
RKLB,Rocket Lab Corporation
