ticker,name
INTC,Intel Corporation
GLD,SPDR Gold Shares
TMUS,"T-Mobile US, Inc."
NVDA,NVIDIA Corporation
QRVO,"Qorvo, Inc."
ABT,Abbott Laboratories
QCOM,QUALCOMM Incorporated
VDE,Vanguard Energy Index Fund ETF Shares
O,Realty Income Corporation
MSFT,Microsoft Corporation
SPMO,Invesco S&P 500 Momentum ETF
NKE,"NIKE, Inc."
VOO,Vanguard S&P 500 ETF
AVGO,Broadcom Inc.
GPC,Genuine Parts Company
LRCX,Lam Research Corporation
DIS,The Walt Disney Company
LLY,Eli Lilly and Company
GOOGL,Alphabet Inc.
AAPL,Apple Inc.
SPG,"Simon Property Group, Inc."
ABNB,"Airbnb, Inc."
DELL,Dell Technologies Inc.
AMD,"Advanced Micro Devices, Inc."
